symbol,rule,signal_date,eligible_date,days_to_eligible,holder_class,confidence,basis
KOTYARK,lockin_expiry_promoter_excess_6m,2026-03-12,2026-09-12,36,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
KOTYARK,lockin_expiry_aif_vcf_6m,2026-03-12,2026-09-12,36,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
MANAV-RE,lockin_expiry_mpc,2025-03-12,2026-09-12,36,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SPCON,lockin_expiry_non_promoter_6m,2026-03-13,2026-09-13,37,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SPCON,lockin_expiry_promoter_excess_6m,2026-03-13,2026-09-13,37,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SPCON,lockin_expiry_aif_vcf_6m,2026-03-13,2026-09-13,37,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
860IIFL27,lockin_expiry_non_promoter_6m,2026-03-13,2026-09-13,37,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
860IIFL27,lockin_expiry_promoter_excess_6m,2026-03-13,2026-09-13,37,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
860IIFL27,lockin_expiry_aif_vcf_6m,2026-03-13,2026-09-13,37,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
860IIFL27,lockin_expiry_non_promoter_6m,2026-03-13,2026-09-13,37,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
860IIFL27,lockin_expiry_promoter_excess_6m,2026-03-13,2026-09-13,37,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
860IIFL27,lockin_expiry_aif_vcf_6m,2026-03-13,2026-09-13,37,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
860IIFL27,lockin_expiry_non_promoter_6m,2026-03-13,2026-09-13,37,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
